Coastline (Low Detail) N00.00.00.000 w000.00.00.000 N00.00.00.000 w000.00.00.000
N043.23.59.999 E004.36.49.399 N043.26.37.399 E004.33.53.899
N043.26.37.399 E004.33.53.899 N043.27.25.402 E004.29.59.798
N043.27.25.402 E004.29.59.798 N043.26.58.498 E004.23.56.900
N043.26.58.498 E004.23.56.900 N043.28.40.501 E004.23.32.701
N043.28.40.501 E004.23.32.701 N043.26.55.600 E004.23.44.998
N043.26.55.600 E004.23.44.998 N043.28.16.499 E004.10.36.098
N043.28.16.499 E004.10.36.098 N043.29.44.998 E004.07.31.501
N043.29.44.998 E004.07.31.501 N043.32.37.500 E004.07.53.900
N043.32.37.500 E004.07.53.900 N043.33.40.500 E004.05.60.101
N043.33.40.500 E004.05.60.101 N043.32.46.500 E003.58.32.901
N043.32.46.500 E003.58.32.901 N043.30.43.498 E003.53.47.800
N043.30.43.498 E003.53.47.800 N043.26.70.501 E003.47.12.001
N043.26.70.501 E003.47.12.001 N043.22.43.600 E003.38.12.001
N043.22.43.600 E003.38.12.001 N043.16.19.499 E003.30.32.799
N043.16.19.499 E003.30.32.799 N043.16.58.501 E003.26.44.902
N043.16.58.501 E003.26.44.902 N043.17.52.299 E003.27.11.999
N043.17.52.299 E003.27.11.999 N043.17.70.400 E003.26.35.800
N043.17.70.400 E003.26.35.800 N043.17.13.499 E003.22.80.900
N043.17.13.499 E003.22.80.900 N043.16.19.401 E003.20.51.101
N043.16.19.401 E003.20.51.101 N043.17.13.499 E003.20.20.900
N043.17.13.499 E003.20.20.900 N043.16.10.401 E003.20.23.899
N043.16.10.401 E003.20.23.899 N043.14.55.500 E003.17.56.799
N043.14.55.500 E003.17.56.799 N043.15.37.400 E003.18.17.899
N043.15.37.400 E003.18.17.899 N043.12.52.498 E003.14.32.798
N043.12.52.498 E003.14.32.798 N043.13.13.598 E003.13.41.901
N043.13.13.598 E003.13.41.901 N043.12.43.401 E003.14.24.000
N043.12.43.401 E003.14.24.000 N043.06.52.499 E003.07.41.901
N043.06.52.499 E003.07.41.901 N043.07.16.399 E003.06.56.998
N043.07.16.399 E003.06.56.998 N043.06.47.902 E003.07.37.402
N043.06.47.902 E003.07.37.402 N043.03.19.598 E003.05.50.999
N043.03.19.598 E003.05.50.999 N043.04.33.100 E003.04.55.402
N043.04.33.100 E003.04.55.402 N043.04.58.501 E003.02.53.800
N043.04.58.501 E003.02.53.800 N043.06.11.902 E003.03.16.401
N043.06.11.902 E003.03.16.401 N043.06.80.899 E003.02.22.402
N043.06.80.899 E003.02.22.402 N043.04.30.101 E003.01.31.501
N043.04.30.101 E003.01.31.501 N043.03.40.399 E003.03.42.001
N043.03.40.399 E003.03.42.001 N043.03.37.501 E003.04.47.798
N043.03.37.501 E003.04.47.798 N043.02.56.900 E003.04.52.499
N043.02.56.900 E003.04.52.499 N043.01.12.000 E003.03.22.298
N043.01.12.000 E003.03.22.298 N042.56.70.501 E003.02.14.798
N042.56.70.501 E003.02.14.798 N042.57.30.100 E003.01.10.301
N042.57.30.100 E003.01.10.301 N042.58.28.499 E003.02.20.799
N042.58.28.499 E003.02.20.799 N042.57.32.800 E002.59.40.300
N042.57.32.800 E002.59.40.300 N042.55.50.902 E003.03.34.300
N042.55.50.902 E003.03.34.300 N042.52.17.900 E003.02.58.301
N042.52.17.900 E003.02.58.301 N042.52.49.400 E003.02.44.901
N042.52.49.400 E003.02.44.901 N042.51.16.402 E003.01.47.701
N042.51.16.402 E003.01.47.701 N042.54.20.902 E003.02.46.298
N042.54.20.902 E003.02.46.298 N042.53.37.399 E003.00.56.801
N042.53.37.399 E003.00.56.801 N042.55.37.499 E003.00.17.899
N042.55.37.499 E003.00.17.899 N042.52.19.199 E002.59.53.801
