ADITA N043.13.42.802 E005.49.43.900
ADIVA N043.29.55.000 E004.56.15.799
ADNOR N050.01.02.100 E002.24.22.500
ADOGA N048.01.08.000 E007.26.57.001
ADRUD N049.10.14.002 W006.26.55.000
ADSER N043.14.30.001 E001.12.11.002
ADSET N047.24.20.999 W003.07.03.000
ADSUD N049.52.55.898 E002.27.34.999
ADUDU N043.20.40.999 E007.11.21.001
ADUTO N050.30.54.000 E003.21.42.001
AFRIC N043.46.27.001 E002.52.09.001
AGAKI N042.48.16.999 E005.01.25.000
AGANO N049.39.54.000 W002.00.00.000
AGDEG N047.57.52.999 W003.15.46.901
AGENO N043.29.23.201 E001.16.28.099
AGEVU N043.52.04.001 E006.39.50.000
AGLAX N049.57.24.700 E002.26.59.201
AGN27 N044.20.09.262 E000.48.42.728
AGN36 N044.28.40.372 E000.55.06.589
AGN56 N044.48.51.289 E001.01.57.472
AGOPA N048.04.59.999 E002.00.34.999
AGOTO N042.26.17.999 E005.42.34.999
AGOTU N047.47.22.999 W002.04.14.002
AGREV N045.03.51.001 E004.19.03.000
AHVEC N048.49.19.200 E002.44.44.902
AJ50B N042.03.03.179 E007.43.24.712
AJ50C N042.30.00.940 E008.13.59.030
AJ50D N042.36.04.720 E008.52.04.030
AJO35 N041.25.58.102 E008.07.57.079
AJO50 N042.29.43.609 E008.13.50.750
AKELU N049.22.00.998 E006.27.50.000
AKEMO N047.08.21.001 W003.00.00.000
AKEPO N043.18.58.000 W000.08.17.999
AKIKI N049.35.29.000 W001.25.00.001
AKITO N047.12.47.999 E006.38.55.500
AKONO N047.42.56.300 E004.35.22.200
AKUNU N043.07.58.501 E003.22.23.801
AKUTI N043.13.37.999 E008.56.25.001
ALABI N045.56.45.398 E004.51.02.599
ALARO N047.29.47.119 E004.44.56.299
ALBER N042.27.05.400 E002.49.55.600
ALESO N050.34.32.239 E001.13.31.501
ALIMO N048.42.56.999 E003.55.55.999
ALISO N042.55.40.001 E009.36.14.400
ALIVA N043.55.58.800 E001.08.49.301
ALQOL N049.18.38.002 E002.11.06.000
ALTIK N047.38.58.700 E007.07.50.300
ALULO N047.18.05.000 W004.48.19.001
ALURA N046.30.00.000 E004.57.09.698
ALUTA N049.00.19.001 W007.29.53.002
AMAXA N049.46.28.200 E002.41.50.798
AMB34 N047.16.51.038 E001.51.40.680
AMDAS N045.40.54.401 E003.44.34.699
AMFOU N043.35.44.999 E006.06.04.000
AMGEL N043.49.55.402 E007.22.28.700
AMGIM N047.44.50.399 W003.43.01.499
AMIKO N045.07.41.002 E004.28.59.002
AMIRO N043.56.28.000 E006.44.53.002
AMKEN N046.10.57.202 E005.22.46.200
AMLIR N044.26.35.002 E003.09.54.000
AMODO N048.25.09.998 E002.58.49.001
AMOLO N043.49.41.002 E002.34.44.000
AMONI N045.04.01.999 E004.49.57.000
AMOPO N048.46.25.900 W003.13.56.399
AMORO N046.30.00.000 E004.32.17.002
AMPES N041.24.37.001 E008.07.14.999
AMPUM N049.32.26.599 E005.48.48.100
AMUGU N049.04.50.700 W002.03.21.802
AMUVA N046.02.26.999 W003.18.33.001
AMVAR N045.19.50.002 E005.56.13.999
ANAKI N044.12.04.000 E008.43.32.002
ANDLO N048.23.45.499 E007.22.59.599
ANETO N042.41.34.800 E000.33.30.398
ANG42 N047.09.37.598 W001.43.37.852
ANGLA N049.42.14.000 W002.01.14.999
ANGLO N049.55.41.999 W000.27.18.000
ANIGU N047.32.11.000 W000.31.53.000
ANLEV N048.41.37.000 W003.02.60.000
ANNET N049.39.05.000 W004.00.05.000
APRUR N041.22.22.001 E007.16.20.399
AQ510 N049.57.49.298 E002.34.28.099
AQ512 N050.02.48.001 E002.33.49.799
AQ514 N049.58.11.100 E002.41.18.600
